score,node_distribution_unreversed,node_distribution,node_distribution_raw,distance_to_borderlines_unreversed,distance_to_borderlines,distance_to_borderlines_raw,edge_length_sum,edge_length_sum_raw,edge_node_distance_contribution_unreversed,edge_node_distance_contribution,edge_node_distance_contribution_raw,count_edge_crossings,count_edge_crossings_raw,communities_closeness,sum_of_angles,symmetry,category
5,15.0812184920564,165.22718798783222,62.14775640291821,32.0,55.718,28.348,2.277712080822767,3.818614715222469,16.718220327790448,847.154356836577,142.83200706741673,1,1,2.352260068519164,2.797762596161041,0.9806170437732545,BA
4,14.865055909767925,399.07877121363884,79.48461418927428,32.0,34.898,24.475,2.5047481741351216,3.776730238289527,14.341241898657442,2180.010496705425,219.39315539438044,4,2,2.4436756223042364,1.9895870950512358,0.9882454325951826,BA
6,15.670885974080749,18.72594671082952,15.976844915831434,24.0,35.703,18.017,5.060094588179031,6.277017152245931,24.72094885190429,68.2383769811209,44.88360630092721,1,1,15.670885974080749,3.810104079624945,0.9311669248838835,BA
5,10.425147314847214,154.68329511586992,33.07102892541924,24.0,21.669,16.899,5.320299343854272,6.174202518414544,16.196536642212344,1189.5023438393187,120.19401530970646,25,5,10.425147314847216,3.785101506773806,0.990023985838683,BA
4,7.7849154390230915,95.4446782397167,34.72858857757396,24.0,37.811,21.189,3.5045941587283553,4.972244966068288,9.584878074925639,1252.8052212173006,152.88539745333134,36,6,7.7849154390230915,2.778197370706761,0.9825270262028463,BA
3,6.664451006072791,234.53463332010142,47.72711981986288,24.0,40.957,22.056,1.714385836144198,3.3043398255542202,8.635966316888501,78811911.53314194,9058.87220105832,1,1,6.664451006072791,1.91958557733383,0.9798569707280687,BA
1,9.274367688190745,73.34697987298897,29.454298174855847,24.0,31.776,18.027,4.118824054169091,5.390715153054213,13.656195532414436,2690.250312428385,169.98205441216507,1,1,9.274367688190745,3.44130777604484,0.9854094184793196,BA
2,8.646152332388823,76.42194543782233,30.93625758181561,24.0,46.311,21.82,3.2868179017253487,4.8184707327324,11.811694387138848,1677.8985744374613,137.0719142399655,36,6,8.646152332388823,3.463994731587338,0.9786224063540799,BA
6,8.196158270415953,3.999994292244815,4.732047431394612,16.0,37.143,15.04,3.0000042808246485,3.00000214041156,6.00000428082312,5.999991438362937,5.99999571917994,0,0,8.196158270415953,0.49999999999999983,0.8421052731127295,BA
1,3.66825556858879,36.15371649317018,12.84547614687659,16.0,22.446,13.55,1.8461884019028072,2.1796318809513453,1.7651982435111773,8632.668110622355,119.99079805504768,0,0,3.66825556858879,0.07386505188301387,0.9872807932239264,BA
4,3.0972831995818595,48.73128184182419,15.006698084908328,16.0,12.452,10.924,0.5662433470478994,1.1472569733906086,2.213251738818333,86.97676244173547,20.923470950043388,0,0,3.0972831995818595,0.35512072003955397,0.9784007330682826,BA
5,4.464839215795524,15.61117308003459,9.118801877985648,16.0,28.431,14.224,0.9861042092767769,1.661058781132429,3.2796928406145227,24.138281007005933,11.708075016059066,0,0,4.464839215795524,0.4141495775063562,0.9573884858255213,BA
2,2.9603149215916176,174.03870519149734,24.44708163630466,16.0,31.596,16.849,0.8249204625656844,1.211359479130381,2.062521829671782,1225.2424155721928,59.597269757278625,0,0,2.9603149215916176,0.34103190898188684,0.9726192506677331,BA
3,2.4247174406476377,380.86006044901956,30.116544796895955,16.0,10.572,10.679,0.31409404432011556,0.8406922358154673,1.6813844716309345,734.29910372659,47.83138726919107,0,0,2.4247174406476377,0.5,0.973910919959924,BA
6,28.803213167791593,38.95687079531921,31.173361538340927,32.0,37.909,22.482,3.067300307600165,4.631932095468355,31.811944565469176,90.31754050279962,59.9612897515309,0,0,15.353968836804476,2.7762654103098896,0.9314652853608175,BA
4,12.76605368851488,871.5313970135333,93.26148204727572,32.0,21.163,21.023,1.1940816632190636,2.832711210415537,12.35775115161061,2700.7747744716594,226.4249111831219,1,1,7.2576481823321854,2.8900476435956124,0.98711877690631,BA
2,11.59029200305876,632.6171101191642,98.83388283089583,32.0,22.958,21.357,1.7676129387594985,3.2078442808038434,12.016446147154339,4730.583098482654,282.6237878794831,4,2,6.87621896001454,2.7211394621163345,0.9884598531107119,BA
3,16.755630798412238,239.37536472323586,65.32058482918043,32.0,39.454,25.038,2.487539464718253,3.742008050234242,17.632035591124335,1631.6024717910927,176.4063704941333,0,0,9.662728609220595,2.7429785094522905,0.9872242583341502,BA
1,15.316224089523248,617.2688587920519,84.82429153925013,32.0,24.374,22.209,4.174273825574288,5.080626803502988,14.556235558940674,2249.9675065932493,215.71299960938174,16,4,9.40969730482585,2.1563354854554504,0.9796850099718531,BA
5,18.939645328538006,317.42221429472175,62.379038144400596,32.0,68.504,30.069,3.7587664141068693,4.686434896326089,20.743794648017218,1462.4495881824184,167.30091337349816,0,0,9.76437255057143,3.0,0.9766252159214492,BA
6,21.193683677780857,29.99885133016906,23.624141836032,28.0,36.698,20.116,6.829917879387446,8.885838498654444,45.09737718266436,199.2075636416319,93.74492349484193,9,3,9.217007344389,8.88705120125659,0.9316322024034561,BA
